Data;Abertura;Máxima;Mínima;Fechamento;SAR Parabólico (0,2 0,02);HiLo Activator [3];Média Móvel E [20];Média Móvel E [200];TR - Pontos de Decisão
3/12/21 18:29;5557;5557,5;5557;5557,5;5557,54;5555,67;5556,31;5561,74;5620
3/12/21 18:29;5556,5;5557;5556,5;5557;5557,6;5555,5;5556,18;5561,78;5620
3/12/21 18:29;5556;5556,5;5555;5556,5;5557,66;5556,83;5556,1;5561,83;5620
3/12/21 18:29;5556;5556;5555,5;5555,5;5557,73;5557;5556,05;5561,88;5620
3/12/21 18:29;5556,5;5557,5;5556;5556;5557,79;5555,67;5556,11;5561,95;5620
3/12/21 18:29;5556,5;5557;5556,5;5557;5557,86;5555,17;5556,12;5562,01;5620
3/12/21 18:29;5556;5556,5;5556;5556,5;5557,93;5555;5556,03;5562,06;5620
3/12/21 18:29;5555,5;5556;5554,5;5556;5558;5556,5;5555,98;5562,11;5620
3/12/21 18:29;5555,5;5556;5555;5555;5554,96;5557,17;5555,98;5562,17;5620
3/12/21 18:29;5556;5557;5555,5;5555,5;5554,83;5557,33;5556,09;5562,25;5620
3/12/21 18:29;5556,5;5556,5;5556;5556;5554,7;5557,5;5556,15;5562,31;5620
3/12/21 18:27;5557;5558;5556,5;5556,5;5554,56;5556,5;5556,16;5562,38;5620
3/12/21 18:27;5557;5557,5;5557;5557,5;5554,5;5555,67;5556,13;5562,44;5620
3/12/21 18:27;5556,5;5557;5556,5;5557;5557,27;5555,17;5555,98;5562,49;5620
3/12/21 18:26;5556;5556,5;5556;5556,5;5557,32;5554,67;5555,88;5562,54;5620
3/12/21 18:26;5555,5;5556;5554,5;5556;5557,38;5556;5555,81;5562,6;5620
3/12/21 18:25;5555,5;5556,5;5555;5555;5557,44;5555,83;5555,79;5562,67;5620
3/12/21 18:24;5555,5;5556;5554,5;5556;5557,5;5556,33;5555,87;5562,75;5620
3/12/21 18:24;5555,5;5555,5;5555;5555;5554,55;5556,83;5555,86;5562,81;5620
