Nome,Diário,Semana,Mês,YTD,1 ano,3 anos
3M BDR,0.00%,-1.65%,11.23%,21.60%,55.47%,56.55%
Abbott Laboratories BDR,0.00%,-2.74%,3.47%,20.91%,70.39%,260.80%
Abbvie BDR,0.00%,4.01%,3.75%,13.24%,61.18%,120.40%
ABIOMED,0.00%,11.13%,7.28%,8.94%,138.43%,-
Activision Blizzard,0.00%,3.38%,5.71%,14.60%,81.58%,-
Adobe,0.00%,3.46%,10.97%,6.76%,-82.12%,-
Advanced Micro Devices,0.00%,5.20%,5.02%,-3.56%,100.89%,-
Alibaba Group Holding,0.00%,-0.65%,-1.07%,4.52%,-95.39%,-
Alphabet A BDR,0.00%,5.09%,4.79%,35.13%,111.57%,256.49%
Alphabet C BDR,0.00%,4.95%,4.60%,35.10%,-64.58%,-39.79%
Altria Group,0.00%,-1.22%,16.23%,37.83%,48.79%,-
Amazon.com BDR,0.00%,3.45%,6.04%,5.22%,79.74%,294.24%
American Airlines BDR,0.00%,5.04%,12.46%,63.91%,175.13%,-14.49%
American Express BDR,0.00%,0.55%,3.24%,33.43%,116.30%,185.36%
Amgen BDR,0.00%,-1.48%,12.98%,19.81%,-95.30%,-90.71%
Anheuser Busch Inbev NV,0.00%,0.00%,6.49%,-1.22%,-73.10%,-
Apache,0.00%,4.29%,-6.78%,42.59%,305.12%,-
Apple BDR,0.00%,1.47%,3.02%,1.91%,120.72%,408.46%
Arcelor Mittal BDR,0.00%,3.27%,25.88%,38.04%,261.65%,61.52%
ATT BDR,0.00%,-0.03%,5.97%,19.40%,28.66%,76.07%
Baidu,0.00%,10.00%,-14.30%,11.65%,140.00%,-
Banco Santander,0.00%,-0.05%,-2.25%,21.23%,66.30%,-
Bank of America BDR,0.00%,1.53%,8.59%,44.54%,-46.82%,-42.35%
Bank of New York Mellon BDR,0.00%,-0.19%,6.35%,24.36%,58.90%,62.59%
Berkshire Hathaway BDR,0.00%,0.34%,5.77%,23.29%,56.74%,123.24%
Best Buy BDR,0.00%,-2.65%,19.51%,25.42%,131.29%,197.92%
Biogen BDR,0.00%,1.13%,7.55%,27.01%,4.31%,79.79%
Blackrock BDR,0.00%,1.60%,13.32%,18.88%,104.51%,162.54%
Boeing BDR,0.00%,3.44%,14.63%,28.40%,115.10%,37.36%
Booking,0.00%,1.25%,8.02%,17.75%,-70.14%,-
Boston Properties BDR,0.00%,-0.68%,1.57%,20.93%,34.32%,48.12%
Boston Scientific,0.00%,2.13%,2.79%,19.16%,39.39%,-
Bristol Myers Squibb BDR,0.00%,-0.33%,8.05%,11.22%,27.52%,77.44%
Broadcom,0.00%,-1.07%,7.28%,19.78%,-68.60%,-
Carnival,0.00%,2.51%,-1.17%,36.13%,249.66%,-
Charles Schwab BDR,0.00%,0.95%,3.56%,39.17%,-45.58%,-42.32%
Charter Communications,0.00%,1.09%,5.71%,7.61%,-86.27%,-
Chevron BDR,0.00%,-1.86%,1.85%,-72.80%,-69.74%,-67.02%
Cisco Systems BDR,0.45%,1.08%,20.58%,31.53%,54.13%,142.99%
Citigroup BDR,0.00%,-0.37%,5.38%,31.23%,-64.58%,-68.67%
Coca-Cola BDR,0.00%,-0.69%,5.78%,-82.24%,-77.40%,-64.54%
Comcast BDR,0.00%,-1.12%,2.20%,17.16%,-64.90%,-43.47%
ConocoPhillips BDR,0.00%,-1.40%,0.60%,50.44%,81.66%,58.48%
Costco Wholesale BDR,0.00%,1.45%,13.05%,5.20%,-86.53%,-66.16%
Coty BDR,0.00%,3.37%,16.43%,42.78%,48.19%,-15.22%
CVS Health BDR,0.00%,-1.48%,8.62%,21.58%,41.14%,114.29%
Delta Air Lines BDR,0.00%,4.18%,5.56%,33.63%,138.23%,61.47%
Dollar General,0.13%,5.54%,16.80%,7.96%,47.13%,-
Ebay BDR,0.00%,4.17%,19.21%,36.34%,137.57%,171.71%
Electronic Arts,0.00%,3.90%,3.38%,6.66%,68.81%,-
Eli Lilly BDR,0.00%,0.28%,-6.51%,22.36%,49.14%,326.36%
Equinix,0.00%,-1.87%,11.43%,5.28%,-92.59%,-
Exxon Mobil BDR,0.00%,-0.85%,-1.55%,51.02%,60.55%,37.32%
Facebook BDR,0.00%,5.00%,18.59%,19.61%,-84.83%,-76.40%
Federal Realty Investment Trust,0.00%,-1.50%,1.03%,32.41%,50.55%,-
Fedex BDR,0.00%,0.74%,14.40%,20.05%,168.29%,107.94%
Fidelity National Information Services,0.00%,-2.37%,5.51%,12.56%,-65.87%,-
Ford Motor BDR,0.00%,-1.14%,2.03%,50.76%,143.61%,98.40%
Freeport Mcmoranpper Gold BDR,0.00%,2.66%,4.44%,39.65%,486.63%,241.35%
General Electric BDR,0.00%,3.89%,0.57%,43.52%,117.57%,79.11%
General Motors BDR,0.00%,0.61%,10.24%,45.37%,-19.23%,-30.92%
Gilead Sciences BDR,0.00%,4.36%,7.55%,28.94%,-9.65%,60.19%
Goldmanchs Group BDR,0.00%,0.05%,0.80%,39.45%,140.41%,127.81%
GoPro BDR,0.00%,7.15%,63.00%,68.07%,492.18%,379.35%
Halliburton BDR,0.00%,5.28%,2.22%,26.60%,238.19%,-17.40%
Home Depot BDR,0.00%,1.94%,25.86%,29.61%,-86.53%,-77.75%
IBM BDR,0.00%,-1.30%,11.85%,17.59%,38.21%,55.32%
Illumina,0.00%,-1.81%,-4.55%,16.01%,75.19%,-
Intel BDR,0.00%,-0.58%,10.86%,44.95%,-78.10%,-62.22%
JD.com,0.00%,3.07%,-6.69%,4.19%,123.88%,-
Johnson Johnson BDR,0.00%,-1.13%,7.29%,15.28%,36.07%,132.20%
JP Morgan Chase BDR,0.39%,-0.49%,3.39%,36.15%,103.64%,161.68%
Kraft Heinz BDR,0.00%,0.35%,1.93%,28.26%,89.89%,33.35%
L Brands BDR,0.00%,0.62%,15.59%,77.31%,495.90%,204.50%
Macy’s BDR,0.00%,-5.14%,4.07%,44.47%,275.73%,-3.01%
Mastercard BDR,0.00%,-1.11%,4.87%,-96.36%,-94.57%,-88.25%
McDonalds BDR,0.00%,-0.54%,10.11%,16.63%,-69.70%,-51.21%
Medtronic BDR,0.00%,-0.62%,3.19%,12.89%,53.53%,166.62%
Mercadolibre BDR,0.00%,5.59%,4.21%,-3.38%,250.25%,-
Merck BDR,0.00%,-0.78%,8.37%,5.38%,13.12%,170.50%
Micron Technology,0.00%,5.04%,9.75%,40.61%,139.43%,-
Microsoftrp BDR,0.00%,2.61%,7.67%,20.21%,71.90%,371.15%
Morgan Stanley Bank BDR,0.00%,-2.51%,-3.41%,26.88%,179.34%,174.70%
Nasdaq,0.00%,-0.19%,9.89%,27.77%,92.61%,-
NetEase,0.00%,3.21%,0.66%,22.58%,-61.84%,-
Netflix BDR,0.00%,5.73%,7.09%,12.49%,60.73%,229.18%
Newmont,0.00%,-0.41%,11.49%,12.68%,44.85%,-
Nextera Energy,0.00%,2.36%,8.22%,9.51%,-61.75%,-
Nike BDR,0.00%,-0.54%,1.03%,-89.74%,-81.81%,-65.49%
Nokia of America,0.00%,-0.52%,5.53%,12.70%,32.45%,-
Norwegian Cruise Line Holdings,0.00%,2.87%,-11.12%,18.65%,230.19%,-
Nvidia,0.00%,8.25%,11.62%,15.52%,-79.58%,-
Occidental Petroleum,0.00%,-1.39%,-8.90%,68.07%,152.52%,-
Oracle BDR,0.00%,1.57%,8.66%,-79.85%,-74.03%,-53.38%
PayPal Holdings,0.00%,4.34%,5.23%,17.20%,-70.36%,-
Pepsico BDR,0.00%,-0.83%,10.85%,6.61%,27.09%,141.62%
Procter Gamble BDR,0.00%,-0.74%,10.70%,7.09%,-90.92%,-78.05%
Qualcomm BDR,0.00%,4.17%,8.03%,0.83%,-81.11%,-62.67%
RD Shell BDR,0.00%,-2.47%,-5.14%,22.46%,20.87%,-
Realty Income BDR,0.00%,1.26%,9.41%,11.00%,71.56%,-
Regeneron,0.00%,-0.55%,7.58%,7.93%,5.07%,-
Royal Caribbean,0.00%,2.41%,-1.46%,28.81%,257.22%,-
Salesforce.com BDR,0.00%,4.04%,7.39%,8.10%,-84.02%,-70.27%
SAP BDR,0.00%,2.72%,4.67%,5.61%,31.94%,-
Simon Property Group BDR,0.00%,-0.73%,4.02%,50.06%,120.68%,-
Sony BDR,0.00%,0.16%,5.28%,15.93%,104.16%,-
Spotify Technology,0.00%,7.59%,-1.49%,-4.40%,146.62%,-
Starbucks BDR,0.00%,-0.56%,4.97%,12.77%,88.46%,225.83%
Taiwan Semiconductor Manufacturing BDR,0.00%,7.07%,8.38%,25.70%,186.99%,-
Take Two Interactive,0.00%,4.92%,4.11%,-5.11%,-,-
Telefonica,0.00%,-6.44%,-0.08%,23.24%,19.52%,-
Tesla Motors BDR,0.00%,7.15%,7.56%,4.38%,645.89%,2014.70%
Texas Instruments BDR,0.00%,1.96%,17.55%,30.24%,113.39%,244.18%
Thermo Fisher Scientific,0.00%,-0.48%,3.92%,8.34%,-85.39%,-67.63%
