Nome,Diário,Semana,Mês,YTD,1 ano,3 anos,
Binance Coin,-1.17%,20.93%,30.87%,705.16%,2264.75%,2608.22%,
Cardano,-2.14%,11.27%,7.04%,556.50%,3749.80%,703.18%,
CHZ/USD,-5.12%,2.20%,321.64%,2209.36%,7624.80%,-,
COCOS/USD,-5.90%,19.41%,44.85%,607135.75%,547079.46%,-,
Facebook,2.27%,4.39%,14.32%,7.82%,84.54%,84.32%,
Facebook BDR,-0.42%,3.96%,14.67%,15.66%,-85.79%,-77.83%,
Gerdau ON,1.25%,10.68%,11.09%,19.53%,185.18%,91.02%,
JHSF Part ON,-2.52%,2.65%,1.16%,-10.88%,116.82%,370.27%,
Magazine Luiza ON,0.90%,-0.64%,-20.44%,-18.88%,116.48%,570.20%,
Marfrig ON,1.21%,2.68%,20.04%,21.36%,91.41%,196.46%,
Netflix,1.61%,0.16%,2.03%,-3.53%,43.28%,76.62%,
Netflix BDR,-0.76%,0.00%,2.07%,7.21%,53.66%,204.94%,
Procter Gamble BDR,-2.09%,2.13%,10.17%,6.59%,-90.47%,-78.65%,
Procter&Gamble,-0.01%,2.17%,10.87%,-2.67%,23.87%,70.82%,
SELECTION LONG BIASED FUNDO DE INVESTIMENTO EM COT,0.24%,1.83%,0.23%,-2.68%,50.60%,43.98%,
SULAMÉRICA FIX 100 III FUNDO DE INVESTIMENTO EM CO,-0.05%,-0.02%,-0.07%,0.27%,0.08%,-,
SULAMÉRICA PRESTIGE INFLATIE I FDO INVESTIMENTO EM,-0.25%,0.27%,-2.00%,-3.70%,9.61%,-,
Uber Tech,1.96%,3.69%,2.71%,6.88%,114.44%,-,
Uber Technologies,0.97%,5.24%,3.71%,13.40%,-40.59%,-,
Weg ON,-0.65%,5.73%,1.82%,-1.56%,130.77%,342.50%,
