Nome,Diário,Semana,Mês,YTD,1 ano,3 anos,
Trend ETF MSCI ACWI,0.00%,0.45%,1.92%,-,-,-,
Trend MSCI Europa,0.00%,-3.41%,0.27%,-,-,-,
Trend ETF MSCI China Fundo de Investimento indice,0.00%,-2.77%,-2.00%,9.22%,-,-,
It Now IRFM - IRFM11,-2.72%,-3.01%,-3.85%,-6.31%,0.00%,-,
It Now ID ETF IMA-B - IMAB11,-0.08%,-0.40%,-1.46%,-3.26%,9.66%,-,
Trend ETF LBMA Ouro FI Indice IE,0.57%,-0.47%,0.38%,-0.94%,-,-,
Fundo de Invest Ishares SP 500,-0.70%,-0.36%,3.25%,18.31%,62.72%,160.76%,
Ishares Ibovespa,0.00%,2.77%,4.71%,-0.78%,51.93%,39.47%,
ETF Mirae Asset Renda Fixa - FIXA11,0.00%,-1.18%,1.65%,6.39%,6.73%,-,
It Now IMAT,0.00%,5.90%,8.43%,22.21%,162.26%,114.76%,
It Now ISE,0.00%,1.37%,4.05%,-3.61%,33.02%,36.84%,
BB SP Dividendos,0.93%,2.49%,6.03%,-4.46%,36.95%,43.71%,
It Now IFNC,0.00%,1.40%,2.36%,-8.35%,29.66%,19.80%,
CAIXA Ibovespa,0.58%,2.64%,4.85%,-0.62%,51.29%,38.71%,
iShares IBrX Brasil,0.00%,3.51%,5.12%,1.33%,54.05%,47.11%,
It Now IGCT,0.00%,3.26%,6.01%,1.44%,54.61%,52.30%,
iShares Carbono Eficiente (ICO2) Brasil,0.00%,1.40%,3.59%,-5.42%,34.56%,22.43%,
It Now Small Cap Fundo de indice,0.00%,4.66%,9.39%,2.35%,64.53%,-,
It Now Ibovespa Fundo De Indice,0.43%,2.70%,4.68%,-0.67%,52.24%,40.11%,
ETF Bradesco Ibovespa Fdo De Indice,0.65%,2.88%,5.01%,-0.54%,52.51%,-,
It Now PIBB IBrX-50,0.00%,2.89%,4.79%,1.14%,57.52%,40.38%,
It Now SP500 TRN,-0.55%,-0.58%,3.62%,18.26%,62.34%,159.15%,
It Now IDIV,0.00%,1.15%,7.45%,-2.88%,34.83%,50.32%,
