Nome,Diário,Semana,Mês,YTD,1 ano,3 anos
Petrorio ON,2.43%,-0.74%,-2.26%,31.46%,328.96%,1185.10%
Magazine Luiza ON,-1.43%,-4.40%,5.09%,-17.23%,63.53%,533.44%
CSN ON,0.75%,10.09%,41.01%,61.29%,469.51%,477.19%
BTG Pactual Unit,1.71%,8.05%,15.61%,13.22%,143.32%,400.14%
JHSF Part ON,-0.86%,-2.41%,2.23%,-11.91%,56.72%,322.09%
Intermedica ON,1.14%,-1.98%,-2.13%,5.08%,44.42%,300.97%
JBS ON,-6.14%,-9.79%,7.37%,33.64%,31.75%,255.28%
Totvs ON,0.91%,-0.45%,11.05%,7.76%,57.91%,195.04%
COPEL Pref B,-1.55%,-4.35%,-1.85%,-7.55%,29.74%,192.20%
Natura ON,-0.04%,-3.72%,-2.11%,-9.71%,30.52%,187.75%
Locamerica ON,4.92%,1.22%,10.07%,-11.98%,83.24%,167.91%
Cosan ON,1.65%,-1.29%,1.77%,20.69%,50.95%,143.47%
Localiza ON,3.41%,2.17%,9.68%,-8.46%,75.49%,140.86%
Marfrig ON,-4.70%,-8.02%,8.55%,31.29%,52.28%,138.72%
Vale ON,1.63%,5.43%,14.23%,27.98%,149.52%,138.13%
TAEE UNIT,-0.22%,-0.95%,5.70%,21.78%,57.19%,132.79%
Gerdau PN,0.70%,7.44%,19.55%,41.80%,179.74%,117.14%
B3 ON,1.23%,-0.22%,0.00%,-12.74%,37.78%,115.95%
Usiminas PNA,-0.74%,8.73%,37.49%,56.88%,352.96%,115.41%
B2W Digital ON,1.58%,-3.42%,5.29%,-16.08%,-18.16%,114.87%
Bradespar PN,1.21%,1.47%,8.14%,15.90%,139.98%,114.28%
Weg ON,-1.38%,-50.59%,-49.38%,-51.81%,-11.51%,110.12%
Met. Gerdau PN,0.85%,5.61%,19.14%,37.12%,184.98%,104.18%
Eztec ON,-0.42%,-1.05%,9.22%,-22.98%,1.32%,102.45%
