
Nome,Diário,Semana,Mês,YTD,1 ano,3 anos
Ambev ON,0.00%,-0.99%,1.49%,-4.15%,35.18%,-34.49%
Azul PN,0.00%,1.66%,-1.32%,-3.33%,169.43%,3.51%
B2W Digital ON,0.00%,3.85%,-17.55%,-18.57%,36.98%,151.72%
B3 ON,0.00%,-0.74%,-3.39%,-12.72%,53.37%,114.01%
Banco do Brasil ON,0.00%,0.98%,-0.30%,-22.81%,20.48%,-17.37%
BB Seguridade ON,0.00%,-0.17%,-2.37%,-19.27%,5.91%,-6.12%
BR Malls Par ON,0.00%,2.34%,19.81%,1.41%,13.45%,-10.36%
Bradesco ON,0.04%,-2.41%,6.32%,-6.13%,44.62%,-5.29%
Bradesco PN,0.08%,-3.77%,7.86%,-4.91%,51.10%,4.80%
Bradespar PN,0.00%,-2.95%,1.00%,-0.42%,139.88%,112.81%
Braskem PN,0.00%,6.99%,34.62%,72.08%,159.67%,-8.67%
BRF ON,0.00%,0.66%,8.01%,11.39%,60.88%,6.46%
BTG Pactual Unit,0.00%,2.81%,-4.34%,0.59%,192.63%,336.12%
Carrefour ON,0.00%,2.66%,17.58%,17.64%,7.70%,58.84%
CCR ON,0.00%,7.58%,11.01%,-4.16%,19.20%,13.44%
CEMIG PN Pref,0.00%,2.74%,5.10%,-10.54%,75.68%,70.72%
Cia Hering ON,0.00%,0.06%,-0.81%,-7.57%,19.41%,-15.31%
Cielo ON,0.00%,0.28%,4.62%,-9.50%,-7.65%,-78.87%
Cogna Educacao,0.00%,0.79%,3.78%,-17.06%,3.23%,-68.79%
COPEL Pref B,0.00%,-8.88%,1.19%,-15.13%,36.75%,-74.51%
Cosan ON,0.00%,2.25%,4.33%,22.61%,97.15%,147.34%
CPFL Energia ON,0.00%,-0.83%,1.76%,-7.77%,16.22%,23.84%
CSN ON,0.00%,4.72%,4.52%,15.54%,489.45%,327.91%
CVC Brasil ON,0.00%,1.74%,24.98%,-6.41%,106.76%,-66.11%
Cyrela Realt ON,0.00%,1.90%,1.13%,-18.15%,100.69%,78.08%
Ecorodovias ON,0.00%,3.21%,5.27%,-13.39%,40.36%,44.03%
EDP Brasil ON,0.00%,1.60%,6.77%,1.77%,36.87%,62.44%
Eletrobras ON,0.00%,-0.47%,5.13%,-8.34%,61.57%,59.36%
Eletrobras PNB,0.00%,-0.32%,3.99%,-7.70%,43.04%,37.15%
Embraer ON,0.00%,5.30%,12.10%,57.06%,63.92%,-34.37%
Energisa Unit,0.00%,-0.16%,0.00%,-15.55%,22.83%,35.81%
Eneva ON,0.00%,-1.46%,-2.01%,4.41%,100.43%,18.93%
Engie Brasil ON,0.00%,0.63%,2.93%,-5.60%,14.74%,57.74%
Equatorial ON,0.00%,9.46%,19.40%,7.90%,59.42%,79.01%
Eztec ON,0.00%,1.28%,1.51%,-26.34%,26.01%,80.88%
Fleury ON,0.00%,2.11%,0.78%,-4.92%,33.73%,4.13%
Gerdau PN,0.00%,2.73%,9.18%,20.16%,216.59%,99.95%
Gol PN,0.00%,4.94%,11.35%,-13.07%,128.93%,5.45%
Hapvida ON,0.00%,-2.43%,-4.63%,-2.65%,97.28%,-
Hypera ON,0.00%,-1.70%,1.15%,-7.15%,13.71%,-8.04%
Iguatemi ON,0.00%,1.73%,17.83%,-0.19%,29.43%,2.01%
Intermedica ON,0.00%,-3.64%,-4.60%,4.54%,119.28%,-
IRB Brasil ON,0.00%,-1.14%,1.34%,-26.04%,-22.54%,-50.25%
Itau Unibanco PN,0.00%,-3.46%,1.92%,-13.39%,33.76%,-7.29%
Itausa PN,0.00%,-2.51%,-1.08%,-13.90%,26.46%,-7.19%
JBS ON,0.00%,6.06%,9.49%,28.70%,52.72%,236.46%
JHSF Part ON,3.17%,1.34%,-0.73%,-12.55%,126.91%,377.62%
Klabin Unit,0.00%,-1.92%,-6.56%,5.97%,68.87%,37.23%
Localiza ON,0.00%,4.54%,-1.44%,-12.92%,158.88%,118.97%
Locamerica ON,0.00%,6.46%,-0.41%,-16.24%,158.42%,161.45%
Lojas Americanas PN,0.00%,3.70%,-8.79%,-13.88%,29.82%,22.26%
Lojas Renner ON,0.00%,2.24%,9.13%,-1.42%,39.44%,42.84%
Magazine Luiza ON,0.00%,2.30%,-19.65%,-18.08%,130.55%,585.91%
Marfrig ON,0.00%,6.18%,21.81%,23.16%,107.31%,194.88%
Met. Gerdau PN,0.00%,1.57%,6.68%,14.92%,214.26%,93.21%
Minerva ON,0.00%,3.76%,2.93%,0.20%,16.57%,27.98%
MRV ON,0.00%,1.14%,6.23%,-6.39%,61.04%,35.01%
Multiplan ON,0.00%,2.15%,18.46%,2.80%,35.90%,11.42%
Natura ON,0.00%,-2.99%,-0.25%,-9.90%,99.76%,194.66%
Pão de Açúcar CBD ON,0.00%,2.83%,45.04%,-56.96%,-48.20%,-63.29%
Petrobras Distr ON,0.00%,0.77%,9.66%,0.54%,67.46%,7.54%
Petrobras ON,0.00%,1.37%,8.00%,-18.13%,55.71%,5.35%
Petrobras PN,0.00%,1.83%,7.52%,-15.70%,55.74%,22.20%
Petrorio ON,0.00%,-1.65%,-2.16%,29.62%,336.77%,1597.39%
Qualicorp ON,0.00%,-6.75%,-14.04%,-16.78%,37.03%,36.65%
Raia Drogasil ON,0.00%,-1.45%,3.77%,-2.20%,29.46%,72.83%
Rumo ON,0.00%,2.34%,1.56%,4.78%,-2.01%,62.06%
Sabesp ON,0.00%,0.32%,7.08%,-7.74%,24.01%,23.27%
Santander Brasil Unit,0.00%,-5.84%,-0.52%,-14.01%,65.76%,7.81%
Sendas Distribuidora,0.00%,3.25%,2.54%,-,-,-
Sul America Unit,0.00%,-2.59%,8.28%,-19.85%,9.58%,59.68%
Suzano Papel ON,0.00%,-4.59%,-5.91%,18.30%,73.99%,96.01%
TAEE UNIT,0.00%,4.96%,16.23%,13.68%,53.38%,111.16%
Telefonica Brasil ON,0.00%,-2.65%,0.30%,-5.08%,-11.56%,15.31%
TIM ON,0.00%,-2.88%,-4.44%,-14.88%,0.97%,-10.42%
Totvs ON,0.00%,1.95%,-6.14%,0.03%,96.59%,197.10%
Ultrapar ON,0.00%,-0.62%,7.44%,-12.43%,86.96%,-38.24%
Usiminas PNA,0.00%,0.18%,-1.19%,13.69%,310.90%,60.17%
Vale ON,0.00%,1.95%,-1.49%,11.37%,150.52%,135.47%
Via Varejo ON,0.00%,2.34%,1.16%,-24.20%,198.78%,49.76%
Weg ON,0.00%,3.19%,2.50%,-0.90%,129.06%,351.05%
YDUQS Participacoes,0.00%,-1.66%,-3.76%,-19.08%,29.06%,-15.54%
