Nome,Diário,Semana,Mês,YTD,1 ano,3 anos
Petrorio ON,2.43%,-0.74%,-2.26%,31.46%,328.96%,1185.10%
Taurus Armas PN,-0.88%,3.91%,7.16%,52.58%,492.73%,1048.06%
Banco Pan PN,1.45%,13.68%,71.21%,90.98%,231.09%,843.01%
Log-In ON,0.94%,5.15%,27.90%,19.84%,39.50%,585.16%
Simpar ON,7.11%,4.24%,19.15%,17.71%,111.06%,540.34%
Inds Romi ON,-9.03%,-6.60%,33.10%,117.09%,259.80%,335.02%
JHSF Part ON,-0.86%,-2.41%,2.23%,-11.91%,56.72%,322.09%
Trisul ON,0.51%,-1.10%,3.55%,-19.02%,21.12%,275.76%
Unipar PNB,-0.91%,-0.89%,14.25%,56.63%,217.54%,261.66%
Positivo Inf ON,1.75%,2.41%,70.42%,116.86%,144.69%,228.19%
Sinqia ON,-1.06%,3.59%,1.31%,-4.30%,10.84%,221.75%
Locamerica ON,4.92%,1.22%,10.07%,-11.98%,83.24%,167.91%
SLC Agricola ON,-0.26%,1.13%,15.21%,83.21%,106.61%,166.08%
Direcional ON,-1.89%,1.17%,9.06%,-0.69%,37.42%,145.28%
Marfrig ON,-4.70%,-8.02%,8.55%,31.29%,52.28%,138.72%
TAEE UNIT,-0.22%,-0.95%,5.70%,21.78%,57.19%,132.79%
Omega Ger ON,-1.52%,-4.20%,3.83%,-3.87%,26.18%,130.40%
Movida ON,3.71%,2.86%,8.63%,-14.67%,54.83%,128.53%
Even ON,0.48%,-0.75%,5.39%,-12.15%,49.42%,128.08%
Mills ON,-3.21%,-4.31%,13.53%,22.76%,47.75%,122.71%
Portobello ON,-4.80%,-6.29%,22.65%,56.27%,288.43%,122.41%
Santos Brasil ON,1.95%,2.09%,9.10%,39.24%,68.01%,121.52%
Usiminas PNA,-0.74%,8.73%,37.49%,56.88%,352.96%,115.41%
Tenda ON,0.38%,-0.83%,2.97%,-12.85%,8.49%,112.01%
Duratex ON,2.00%,-3.30%,14.08%,11.76%,104.10%,110.74%
Met. Gerdau PN,0.85%,5.61%,19.14%,37.12%,184.98%,104.18%
Eztec ON,-0.42%,-1.05%,9.22%,-22.98%,1.32%,102.45%
