
Nome,Diário,Semana,Mês,YTD,1 ano,3 anos
ABC Brasil PN,0.00%,-3.96%,-10.28%,-7.87%,24.02%,-13.11%
Aes Brasil Energia Unit,0.00%,-2.52%,4.55%,2.84%,31.28%,59.03%
Aliansce Sonae,0.00%,2.75%,14.47%,-6.41%,14.18%,18.75%
Alliar ON,0.00%,-0.45%,-0.78%,-20.27%,7.25%,-42.38%
Alupar Invest Unit,0.00%,0.87%,6.56%,-5.80%,10.50%,49.24%
Anima ON,0.00%,8.00%,15.73%,-17.83%,70.00%,-60.11%
Arezzo ON,0.00%,-0.84%,-4.23%,2.54%,111.66%,46.84%
Azul PN,0.00%,1.66%,-1.32%,-3.33%,169.43%,3.51%
Banco BMG PN,0.00%,-4.08%,1.65%,-20.71%,23.50%,-
Banco Pan PN,0.00%,0.19%,-20.06%,13.33%,159.76%,465.45%
BANRISUL PNB,0.00%,-1.96%,-5.21%,-17.57%,8.00%,-28.85%
BR Malls Par ON,0.00%,2.34%,19.81%,1.41%,13.45%,-10.36%
BR Propert ON,0.00%,-1.72%,2.52%,-13.64%,5.31%,-1.04%
Burger King ON,0.00%,3.27%,9.14%,-10.18%,25.35%,-38.43%
C&A Modas ON,0.00%,5.91%,10.74%,-9.62%,91.30%,-
Camil ON,0.00%,-1.55%,-9.71%,-8.49%,35.61%,39.92%
Cesp PNB,8.22%,1.74%,4.92%,-1.35%,22.66%,85.10%
Cia Hering ON,0.00%,0.06%,-0.81%,-7.57%,19.41%,-15.31%
Cielo ON,0.00%,0.28%,4.62%,-9.50%,-7.65%,-78.87%
Cogna Educacao,0.00%,0.79%,3.78%,-17.06%,3.23%,-68.79%
Copasa ON,0.00%,2.64%,3.48%,-7.56%,37.18%,-65.00%
CVC Brasil ON,0.00%,1.74%,24.98%,-6.41%,106.76%,-66.11%
Cyre CCP ON,0.00%,2.56%,5.82%,-15.04%,-16.83%,17.34%
Cyrela Realt ON,0.00%,1.90%,1.13%,-18.15%,100.69%,78.08%
Direcional ON,0.00%,-1.61%,-1.21%,-6.80%,64.64%,138.75%
Dommo Energia,0.00%,5.75%,16.45%,-33.82%,58.05%,-92.46%
Duratex ON,0.00%,2.03%,4.25%,0.00%,146.33%,88.02%
Ecorodovias ON,0.00%,3.21%,5.27%,-13.39%,40.36%,44.03%
EDP Brasil ON,0.00%,1.60%,6.77%,1.77%,36.87%,62.44%
Embraer ON,0.00%,5.30%,12.10%,57.06%,63.92%,-34.37%
Enauta ON,0.00%,-0.32%,3.49%,30.21%,98.17%,69.37%
Eneva ON,0.00%,-1.46%,-2.01%,4.41%,100.43%,18.93%
Even ON,0.00%,-0.49%,0.99%,-14.98%,91.57%,109.86%
Eztec ON,0.00%,1.28%,1.51%,-26.34%,26.01%,80.88%
Fleury ON,0.00%,2.11%,0.78%,-4.92%,33.73%,4.13%
Gafisa ON,0.00%,-1.50%,-0.86%,5.52%,52.09%,-51.38%
Gol PN,0.00%,4.94%,11.35%,-13.07%,128.93%,5.45%
Grendene ON,0.00%,1.67%,9.38%,-5.37%,17.49%,-8.96%
Guararapes ON,0.00%,-3.83%,8.75%,-9.12%,30.92%,-22.04%
Helbor ON,0.00%,1.76%,6.66%,-29.27%,23.57%,22.70%
Hermes Pardini ON,0.00%,1.46%,5.69%,-7.84%,23.72%,-24.76%
Iguatemi ON,0.00%,1.73%,17.83%,-0.19%,29.43%,2.01%
IMC ON,0.00%,6.23%,23.36%,-10.93%,53.69%,-49.87%
Inds Romi ON,0.00%,8.32%,-2.29%,77.02%,380.21%,223.67%
Iochpe-Maxion ON,0.00%,0.17%,-7.05%,-23.48%,18.96%,-53.01%
IRB Brasil ON,0.00%,-1.14%,1.34%,-26.04%,-22.54%,-50.25%
Jereissati Part ON,0.00%,2.88%,17.60%,0.65%,37.10%,17.52%
JHSF Part ON,3.17%,1.34%,-0.73%,-12.55%,126.91%,377.62%
Light ON,0.00%,5.62%,11.90%,-16.42%,125.92%,41.24%
