Ativo,Data,Abertura,Máximo,Mínimo,Fechamento,Volume,Quantidade
MGLU3,18/01/2021,24.05,24.65,23.91,24.45,592662138.00,24257200
MGLU3,15/01/2021,23.42,24.11,23.35,23.96,776683024.00,32761100
MGLU3,14/01/2021,24.15,24.16,23.50,23.73,605949975.00,25548400
MGLU3,13/01/2021,24.20,24.20,23.55,24.02,612087035.00,25610200
MGLU3,12/01/2021,23.60,24.32,23.25,24.20,838335878.00,35040100
MGLU3,11/01/2021,23.50,23.85,23.33,23.49,626844958.00,26648100
MGLU3,08/01/2021,23.19,24.30,23.02,23.84,1046737076.00,43988100
MGLU3,07/01/2021,23.64,23.85,22.95,23.16,981310617.00,42146600
MGLU3,06/01/2021,24.65,24.66,23.42,23.44,1239554598.00,51799000
MGLU3,05/01/2021,25.10,25.18,24.34,24.76,629236845.00,25431900
MGLU3,04/01/2021,25.26,25.58,24.87,25.20,648542500.00,25706100
MGLU3,30/12/2020,25.37,25.66,24.95,24.95,484317368.00,19188700
MGLU3,29/12/2020,25.21,25.54,25.00,25.26,450114769.00,17789700
MGLU3,28/12/2020,24.76,25.31,24.38,25.23,574982762.00,23099100
MGLU3,23/12/2020,25.23,25.61,24.95,24.95,519517328.00,20558600
MGLU3,22/12/2020,25.27,25.40,24.83,25.14,635194504.00,25236200
MGLU3,21/12/2020,23.91,25.36,23.59,24.98,1296282857.00,52188800
MGLU3,18/12/2020,24.46,24.61,24.08,24.50,755693843.00,31019400
MGLU3,17/12/2020,24.84,25.09,24.34,24.52,577767619.00,23427200
MGLU3,16/12/2020,24.48,24.95,24.15,24.94,1019621891.00,41309900
MGLU3,15/12/2020,24.14,24.80,23.62,24.59,965049098.00,39496800
MGLU3,14/12/2020,22.98,24.20,22.85,24.03,1023632403.00,43300500
MGLU3,11/12/2020,23.07,23.51,22.70,22.97,879006071.00,38144400
MGLU3,10/12/2020,24.08,24.14,23.15,23.38,789377783.00,33674300
MGLU3,09/12/2020,24.93,25.04,23.79,23.96,995565908.00,41174000
MGLU3,08/12/2020,23.71,24.93,23.59,24.93,1031635256.00,42095700
