
Nome,Diário,Semana,Mês,YTD,1 ano,3 anos
3M BDR,1.63%,3.08%,12.58%,21.52%,65.31%,55.45%
Abbott Laboratories BDR,0.96%,2.87%,0.07%,20.20%,95.70%,238.16%
Abbvie BDR,1.90%,1.81%,-2.15%,7.41%,41.90%,99.91%
ABIOMED,-2.36%,-2.36%,-8.44%,-1.97%,121.87%,-
Activision Blizzard,1.04%,3.65%,-3.99%,8.04%,92.97%,-
Adobe,0.43%,4.51%,-0.54%,-1.02%,-83.52%,-
Advanced Micro Devices,0.52%,-0.21%,-8.91%,-9.34%,84.72%,-
Alibaba Group Holding,-3.62%,-3.86%,-3.62%,2.49%,-95.24%,-
Alphabet A BDR,1.08%,2.91%,1.61%,28.77%,-66.66%,-44.28%
Alphabet C BDR,0.79%,2.49%,1.18%,28.68%,-66.04%,-43.47%
Altria Group,0.44%,0.85%,15.57%,34.43%,72.94%,-
Amazon.com BDR,-0.46%,3.03%,0.34%,1.18%,80.56%,243.77%
American Airlines BDR,4.93%,-6.10%,9.30%,54.95%,60.94%,-19.16%
American Express BDR,3.86%,1.45%,6.10%,30.60%,77.96%,177.76%
Amgen BDR,1.21%,2.35%,11.14%,18.04%,-94.86%,-91.08%
Anheuser Busch Inbev NV,1.29%,0.00%,9.79%,-4.39%,-74.00%,-
Apache,-1.73%,-9.79%,-7.64%,36.73%,255.80%,-
Apple BDR,0.93%,1.99%,-1.59%,-0.61%,119.04%,399.13%
Arcelor Mittal BDR,0.07%,-2.37%,12.63%,22.11%,223.71%,41.30%
ATT BDR,0.60%,1.86%,8.38%,17.05%,22.12%,79.87%
Baidu,-14.57%,-22.45%,-28.54%,0.62%,116.29%,-
Banco Santander,1.81%,-2.54%,-2.59%,18.63%,45.56%,-
Bank of America BDR,2.49%,-1.00%,8.94%,37.21%,-52.14%,-45.72%
Bank of New York Mellon BDR,3.13%,1.15%,11.19%,21.74%,66.86%,60.00%
Berkshire Hathaway BDR,0.55%,1.59%,4.53%,19.00%,56.46%,121.66%
Best Buy BDR,-0.30%,1.87%,15.67%,23.90%,113.02%,194.32%
Biogen BDR,3.16%,5.39%,1.03%,22.45%,9.53%,74.34%
Blackrock BDR,0.51%,1.03%,5.23%,11.24%,124.58%,136.79%
Boeing BDR,3.70%,-2.23%,17.91%,24.84%,78.16%,33.99%
Booking,3.32%,-7.57%,-1.59%,12.87%,-73.43%,-
Boston Properties BDR,1.72%,0.00%,5.99%,21.76%,31.61%,49.13%
Boston Scientific,2.20%,-0.37%,-2.65%,15.16%,39.09%,-
Bristol Myers Squibb BDR,0.94%,1.98%,3.25%,9.65%,42.98%,75.99%
Broadcom,1.40%,0.30%,-1.06%,15.41%,-68.79%,-
Carnival,4.50%,-6.32%,-2.00%,30.32%,70.24%,-
