Nome,Diário,Semana,Mês,YTD,1 ano,3 anos,
Bitcoin Cash,7.59%,-5.11%,10.59%,48.87%,137.96%,-40.93%,
BCH/BRL,8.92%,-2.49%,10.53%,62.04%,166.39%,-1.84%,
Ethereum,8.02%,-5.04%,20.79%,132.86%,1207.88%,283.52%,
Procter Gamble BDR,2.39%,10.30%,11.16%,7.89%,-90.32%,-78.39%,
Procter&Gamble,1.48%,5.81%,9.65%,-2.65%,22.95%,71.80%,
Bitcoin,7.90%,-4.68%,22.61%,91.28%,788.32%,596.12%,
CHZ/BRL,7.05%,-3.99%,915.19%,2511.83%,-,-,
Facebook,1.54%,-2.44%,9.86%,3.61%,80.51%,84.94%,
Netflix,1.03%,-0.81%,-5.72%,-6.04%,42.26%,77.78%,
Uber Tech,1.52%,-4.15%,5.72%,7.27%,100.55%,-,
LTC/BRL,7.51%,-4.84%,13.46%,61.62%,435.89%,133.19%,
ETH/BRL,7.61%,-3.44%,21.76%,151.35%,1360.94%,-,
Marfrig ON,-2.26%,5.45%,21.08%,15.99%,97.54%,188.68%,
Uber Technologies,4.23%,0.39%,7.75%,13.21%,-44.16%,-,
Gerdau ON,4.74%,-0.17%,9.28%,14.40%,152.17%,90.63%,
JHSF Part ON,-3.02%,-4.26%,4.01%,-13.70%,66.83%,346.36%,
Netflix BDR,1.89%,3.98%,-3.40%,6.39%,57.43%,202.60%,
Facebook BDR,3.03%,1.94%,15.04%,13.91%,-85.58%,-77.49%,
Magazine Luiza ON,-1.58%,-10.36%,-17.37%,-19.92%,105.37%,568.23%,
Weg ON,2.35%,1.10%,-6.80%,-3.96%,106.48%,335.74%,
SULAMÉRICA FIX 100 III FUNDO DE INVESTIMENTO EM CO,0.03%,-0.13%,0.12%,0.32%,0.02%,-,
BTC/BRL,8.18%,-2.34%,23.81%,108.30%,886.67%,1085.10%,
SELECTION LONG BIASED FUNDO DE INVESTIMENTO EM COT,-1.52%,-2.61%,-1.09%,-4.40%,41.08%,43.26%,
SULAMÉRICA PRESTIGE INFLATIE I FDO INVESTIMENTO EM,0.30%,-1.16%,-1.43%,-3.67%,9.25%,-,
CHZ/USD,5.90%,-3.90%,939.34%,2323.91%,8136.68%,-,
LINK/USD,7.61%,-7.27%,11.43%,144.55%,1186.23%,-,
LINK/BRL,8.13%,-6.49%,11.27%,-,-,-,
